,year,label,Category,Attribute,030101,030102,030201,030202,030301,030302
182,2000,DEC_SF3,Income,Household Income 20000 to 24999,56.0,38.0,59.0,104.0,89.0,46.0
183,2000,DEC_SF3,Income,Household Income 25000 to 29999,38.0,68.0,74.0,124.0,56.0,36.0
184,2000,DEC_SF3,Income,Household Income 30000 to 34999,65.0,88.0,109.0,100.0,93.0,46.0
185,2000,DEC_SF3,Income,Household Income 35000 to 39999,139.0,181.0,119.0,116.0,89.0,29.0
186,2000,DEC_SF3,Income,Household Income 40000 to 44999,63.0,90.0,129.0,54.0,96.0,40.0
187,2000,DEC_SF3,Income,Household Income 45000 to 49999,104.0,55.0,137.0,56.0,174.0,25.0
188,2000,DEC_SF3,Income,Household Income 50000 to 59999,200.0,116.0,103.0,193.0,171.0,46.0
189,2000,DEC_SF3,Income,Household Income 60000 to 74999,234.0,254.0,238.0,255.0,265.0,111.0
190,2000,DEC_SF3,Income,Household Income 75000 to 99999,282.0,343.0,318.0,265.0,379.0,273.0
191,2000,DEC_SF3,Income,Household Income Greater than 200000,119.0,319.0,30.0,93.0,113.0,112.0
