,year,label,Category,Attribute,017700,020100,020101,020102,020200,020201,020202,020700,020701,020702,020800,020801,020802,020900,021000,022801,022802,022803,022901,022902,022903
45,2000,DEC_SF3,Housing,Built 1940 to 1949,0.0584045584045584,0.0816831683168316,INACTIVE,INACTIVE,0.1040536227258219,INACTIVE,INACTIVE,0.1407070353517676,INACTIVE,INACTIVE,0.0986436498150431,INACTIVE,INACTIVE,0.0639823496966354,0.1276315789473684,0.1318281136198106,0.1248049921996879,0.106578947368421,0.0560245587106676,0.1038798498122653,0.1371872303710095
46,2000,DEC_SF3,Housing,Built 1950 to 1959,0.0883190883190883,0.08003300330033,INACTIVE,INACTIVE,0.1015001595914459,INACTIVE,INACTIVE,0.0696534826741337,INACTIVE,INACTIVE,0.1068639539662967,INACTIVE,INACTIVE,0.0849420849420849,0.100438596491228,0.0793882010196649,0.0733229329173166,0.0717105263157894,0.0429777436684574,0.1276595744680851,0.1233822260569456
47,2000,DEC_SF3,Housing,Built 1960 to 1969,0.0398860398860398,0.0424917491749174,INACTIVE,INACTIVE,0.0485157995531439,INACTIVE,INACTIVE,0.0437521876093804,INACTIVE,INACTIVE,0.1011097410604192,INACTIVE,INACTIVE,0.0711527854384997,0.0802631578947368,0.0517115804806991,0.1045241809672386,0.1006578947368421,0.0391404451266308,0.0725907384230287,0.0664365832614322
48,2000,DEC_SF3,Housing,Built 1970 to 1979,0.0512820512820512,0.1402640264026402,INACTIVE,INACTIVE,0.0746887966804979,INACTIVE,INACTIVE,0.0280014000700035,INACTIVE,INACTIVE,0.0439786272092067,INACTIVE,INACTIVE,0.0568119139547711,0.0464912280701754,0.0138383102694828,0.0124804992199688,0.0342105263157894,0.0644666155026861,0.0,0.0509059534081104
49,2000,DEC_SF3,Housing,Built 1980 to 1989,0.0242165242165242,0.0474422442244224,INACTIVE,INACTIVE,0.0772422598148739,INACTIVE,INACTIVE,0.0077003850192509,INACTIVE,INACTIVE,0.0542540073982737,INACTIVE,INACTIVE,0.041919470490899,0.0131578947368421,0.0262199563000728,0.093603744149766,0.0118421052631578,0.1335379892555641,0.0225281602002503,0.0094909404659188
50,2000,DEC_SF3,Housing,Built 1990 to 1999 (to Mar 2000 for DEC),0.1025641025641025,0.1035478547854785,INACTIVE,INACTIVE,0.0300031918289179,INACTIVE,INACTIVE,0.0283514175708785,INACTIVE,INACTIVE,0.0571311138512124,INACTIVE,INACTIVE,0.0573634859349145,0.0105263157894736,0.0531682447195921,0.0,0.0184210526315789,0.0345356868764389,0.0350438047559449,0.0319240724762726
51,2000,DEC_SF3,Housing,Median Year Moved In Owner,1996.5384615384612,1995.4566929133855,INACTIVE,INACTIVE,1993.419811320755,INACTIVE,INACTIVE,1988.3471074380168,INACTIVE,INACTIVE,1993.571428571429,INACTIVE,INACTIVE,1992.623456790124,1995.042553191489,1986.761363636364,1980.5102040816328,1989.3023255813955,1995.061224489796,1987.058823529412,1994.795918367347
52,2000,DEC_SF3,Housing,Median Year Moved In Renter,1995.128078817734,1996.4805491990849,INACTIVE,INACTIVE,1996.10922787194,INACTIVE,INACTIVE,1995.6301020408164,INACTIVE,INACTIVE,1995.403869407497,INACTIVE,INACTIVE,1995.1946564885493,1995.79012345679,1995.7787610619469,1995.66,1995.2888283378747,1994.9289772727277,1996.177966101695,1995.566037735849
53,2000,DEC_SF3,Housing,Median Year Structure Built,1939.0,1939.0,INACTIVE,INACTIVE,1939.0,INACTIVE,INACTIVE,1939.0,INACTIVE,INACTIVE,1939.0,INACTIVE,INACTIVE,1939.0,1939.0,1939.0,1939.0,1939.0,1939.0,1939.0,1939.0
54,2000,DEC_SF3,Housing,"Overcrowding, Renter Occupied Housing",0.2122241086587436,0.3126538650910881,INACTIVE,INACTIVE,0.1249522353840275,INACTIVE,INACTIVE,0.0695954762940408,INACTIVE,INACTIVE,0.3401231643770724,INACTIVE,INACTIVE,0.3104554201411161,0.0704070407040704,0.296976241900648,0.1906976744186046,0.339031339031339,0.4617676266137041,0.4051565377532228,0.27735368956743
55,2000,DEC_SF3,Housing,Owner Occupied,0.1426491994177583,0.119254119687771,INACTIVE,INACTIVE,0.1294078509647372,INACTIVE,INACTIVE,0.1733189500179791,INACTIVE,INACTIVE,0.1066440964875158,INACTIVE,INACTIVE,0.1152099886492622,0.1747616886064457,0.2958174904942965,0.3030794165316045,0.285132382892057,0.2095761381475667,0.2826948480845442,0.3031914893617021
56,2000,DEC_SF3,Housing,"Owner Occupied by Race, American Indian and Alaska Native Alone",,0.0,INACTIVE,INACTIVE,0.0,INACTIVE,INACTIVE,0.375,INACTIVE,INACTIVE,0.0,INACTIVE,INACTIVE,0.0,0.5652173913043478,,0.6875,0.0,0.0,0.0,0.0
57,2000,DEC_SF3,Housing,"Owner Occupied by Race, Asian Alone",0.1530612244897959,0.2184873949579832,INACTIVE,INACTIVE,0.1711026615969581,INACTIVE,INACTIVE,0.1938325991189427,INACTIVE,INACTIVE,0.2429022082018927,INACTIVE,INACTIVE,0.2916666666666667,0.1818181818181818,0.6296296296296297,0.0972222222222222,0.5510204081632653,0.2417582417582417,0.3777777777777777,0.6071428571428571
58,2000,DEC_SF3,Housing,"Owner Occupied by Race, Black or African American Alone",0.0,0.0,INACTIVE,INACTIVE,0.0350877192982456,INACTIVE,INACTIVE,0.0666666666666666,INACTIVE,INACTIVE,0.0,INACTIVE,INACTIVE,0.0,0.1411764705882353,0.55,0.0,0.0,0.3428571428571428,0.4166666666666667,0.0
59,2000,DEC_SF3,Housing,"Owner Occupied by Race, Hispanic or Latino",0.0611111111111111,0.0606372045220966,INACTIVE,INACTIVE,0.0471380471380471,INACTIVE,INACTIVE,0.1279317697228145,INACTIVE,INACTIVE,0.05,INACTIVE,INACTIVE,0.0803011292346298,0.1100702576112412,0.1402214022140221,0.3681818181818181,0.2127371273712737,0.1444866920152091,0.2017291066282421,0.2332695984703633
60,2000,DEC_SF3,Housing,"Owner Occupied by Race, Native Hawaiian and Other Pacific Islander Alone",0.0,0.0,INACTIVE,INACTIVE,0.0,INACTIVE,INACTIVE,,INACTIVE,INACTIVE,,INACTIVE,INACTIVE,,0.0,,,1.0,,,
